Removed Pin From Net: NetName=GND Pin=C8-1
Removed Pin From Net: NetName=S\H\D\N\ Pin=C8-2
Removed Pin From Net: NetName=GND Pin=C9-1
Removed Pin From Net: NetName=VOUT Pin=C9-2
Removed Pin From Net: NetName=Net*_2 Pin=CN1-1
Removed Pin From Net: NetName=Net*_5 Pin=F-1
Removed Pin From Net: NetName=GND Pin=F-2
Removed Pin From Net: NetName=GND Pin=F-3
Removed Pin From Net: NetName=Net*1_2 Pin=F-4
Removed Pin From Net: NetName=GND Pin=F-5
Removed Pin From Net: NetName=CTRL1 Pin=J2-2
Removed Pin From Net: NetName=CTRL2 Pin=J2-3
Removed Pin From Net: NetName=Net*_2 Pin=L1-2
Removed Pin From Net: NetName=Net*1_2 Pin=L2-2
Removed Pin From Net: NetName=S\H\D\N\ Pin=R1-1
Removed Pin From Net: NetName=S\H\D\N\ Pin=U3-1
Removed Pin From Net: NetName=GND Pin=U3-2
Removed Pin From Net: NetName=VOUT Pin=U3-3
Removed Pin From Net: NetName=VCC Pin=U3-4
Removed Pin From Net: NetName=GND Pin=U3-5
Removed Pin From Net: NetName=Net*1_5 Pin=U3-6
Removed Member From Class: ClassName=Main Member=F
Removed Member From Class: ClassName=Main Member=U3
Change Component Footprint: Designator=R1 Old Footprint=RESC1609X50X30NL10T20 New Footprint=RESC1005X40X25ML05T05
Change Component Footprint: Designator=C8 Old Footprint=WCAP-CSGP_0603_Reflow New Footprint=CAPC0402(1005)60_M
Change Component Footprint: Designator=C9 Old Footprint=WCAP-CSGP_0603_Reflow New Footprint=CAPC0402(1005)60_M
Change Component Comment : Designator=R1 Old Comment=2k2 New Comment=4k7
Change Component Comment : Designator=C8 Old Comment=10nF New Comment=1.4pF
Change Component Comment : Designator=C9 Old Comment=10nF New Comment=1.4pF
Change Component Comment : Designator=L2 Old Comment=LQP15MN8N2B02D New Comment=6.6nH
Change Component Comment : Designator=L1 Old Comment=LQP15MN8N2B02D New Comment=8.2nH
Change Managed Component Library Link : Designator=C1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C6 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C7 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C8 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=C9 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AB97B39-A70D-4B45-A90F-99670FA24FB1 Old RevisionGUID= New RevisionGUID=1C3189FD-DA87-493B-BFBA-790C80A3234F
Change Managed Component Library Link : Designator=L1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=3F7D3D13-8D54-48D5-8CF0-461DC0618A95 Old RevisionGUID= New RevisionGUID=28089CA3-ABB0-448C-BA81-83ACC4F58D73
Change Managed Component Library Link : Designator=L2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=3F7D3D13-8D54-48D5-8CF0-461DC0618A95 Old RevisionGUID= New RevisionGUID=28089CA3-ABB0-448C-BA81-83ACC4F58D73
Change Managed Component Library Link : Designator=R1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=344DFA02-B8C5-43FE-8DB2-545ABCB3CF84 Old RevisionGUID= New RevisionGUID=0DBC813C-963B-445E-A628-C2C2F20CF54F
Change component parameters: Designator = "R1" ("R1"); Footprint = "RESC1609X50X30NL10T20"; UniqueID = "\OJHQXVLD" ("\OJHQXVLD")
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1 x 0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current-Max"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (%)"; Value = "±5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Molded"; VariantName = "[No Variations]"
Added Component: Designator=L8(INDC1006X60X20LL10T10)
Add component (AddParameter): Name = "Case Size/Dimension"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0080LQW15A_00.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "09/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = "0.17O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance-Nom"; Value = "10nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.murata.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1 x 0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current-Max"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (%)"; Value = "±5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Molded"; VariantName = "[No Variations]"
Added Component: Designator=L9(INDC1006X60X20LL10T10)
Add component (AddParameter): Name = "Case Size/Dimension"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0080LQW15A_00.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "09/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = "0.17O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance-Nom"; Value = "10nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.murata.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1 x 0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current-Max"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (%)"; Value = "±5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Molded"; VariantName = "[No Variations]"
Added Component: Designator=L10(INDC1006X60X20LL10T10)
Add component (AddParameter): Name = "Case Size/Dimension"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0075S0080LQW15A_00.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "09/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance"; Value = "0.17O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance-Nom"; Value = "10nH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.murata.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1 x 0.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current-Max"; Value = "500mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (%)"; Value = "±5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Molded"; VariantName = "[No Variations]"
Added Component: Designator=R2(RESC1005X40X25ML05T05)
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW04022K20FKED"; VariantName = "[No Variations]"
Added Component: Designator=R3(RESC1005X40X25ML05T05)
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW04022K20FKED"; VariantName = "[No Variations]"
Added Component: Designator=R4(RESC1005X40X25ML05T05)
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW04022K20FKED"; VariantName = "[No Variations]"
Added Component: Designator=U1(SOT65P210X100-6N)
Added Pin To Net: NetName=Net*_2 Pin=C9-1
Added Pin To Net: NetName=Net*_5 Pin=C10-1
Added Pin To Net: NetName=GND Pin=C13-1
Added Pin To Net: NetName=S\H\D\N\ Pin=C13-2
Added Pin To Net: NetName=GND Pin=C14-1
Added Pin To Net: NetName=Net*1_2 Pin=C16-1
Added Pin To Net: NetName=Net*1_5 Pin=C17-1
Added Pin To Net: NetName=GND Pin=F1-2
Added Pin To Net: NetName=GND Pin=F1-3
Added Pin To Net: NetName=GND Pin=F1-5
Added Pin To Net: NetName=GND Pin=J2-2
Added Pin To Net: NetName=GND Pin=J2-3
Added Pin To Net: NetName=GND Pin=L3-1
Added Pin To Net: NetName=GND Pin=L4-1
Added Pin To Net: NetName=GND Pin=L5-1
Added Pin To Net: NetName=GND Pin=L6-1
Added Pin To Net: NetName=GND Pin=L7-1
Added Pin To Net: NetName=GND Pin=L8-1
Added Pin To Net: NetName=GND Pin=L9-1
Added Pin To Net: NetName=GND Pin=L10-1
Added Pin To Net: NetName=CTRL1 Pin=R1-1
Added Pin To Net: NetName=CTRL2 Pin=R2-1
Added Pin To Net: NetName=VCC Pin=R2-2
Added Pin To Net: NetName=S\H\D\N\ Pin=R3-1
Added Pin To Net: NetName=VCC Pin=R3-2
Added Pin To Net: NetName=S\H\D\N\ Pin=U1-1
Added Pin To Net: NetName=GND Pin=U1-2
Added Pin To Net: NetName=VCC Pin=U1-4
Added Pin To Net: NetName=GND Pin=U1-5
Added Pin To Net: NetName=FILTR_OUT Pin=C15-1
Added Pin To Net: NetName=FILTR_OUT Pin=F1-4
Added Net: Name=FILTR_OUT
Added Pin To Net: NetName=NetC8_1 Pin=C8-1
Added Pin To Net: NetName=NetC8_1 Pin=CN1-1
Added Net: Name=NetC8_1
Added Pin To Net: NetName=NetC8_2 Pin=C8-2
Added Pin To Net: NetName=NetC8_2 Pin=C9-2
Added Pin To Net: NetName=NetC8_2 Pin=L1-2
Added Pin To Net: NetName=NetC8_2 Pin=L2-2
Added Pin To Net: NetName=NetC8_2 Pin=L3-2
Added Net: Name=NetC8_2
Added Pin To Net: NetName=NetC10_2 Pin=C10-2
Added Pin To Net: NetName=NetC10_2 Pin=C11-2
Added Pin To Net: NetName=NetC10_2 Pin=L4-2
Added Pin To Net: NetName=NetC10_2 Pin=L5-2
Added Net: Name=NetC10_2
Added Pin To Net: NetName=NetC11_1 Pin=C11-1
Added Pin To Net: NetName=NetC11_1 Pin=F1-1
Added Net: Name=NetC11_1
Added Pin To Net: NetName=NetC12_1 Pin=C12-1
Added Pin To Net: NetName=NetC12_1 Pin=U1-6
Added Net: Name=NetC12_1
Added Pin To Net: NetName=NetC12_2 Pin=C12-2
Added Pin To Net: NetName=NetC12_2 Pin=C17-2
Added Pin To Net: NetName=NetC12_2 Pin=L6-2
Added Pin To Net: NetName=NetC12_2 Pin=L10-2
Added Net: Name=NetC12_2
Added Pin To Net: NetName=NetC14_2 Pin=C14-2
Added Pin To Net: NetName=NetC14_2 Pin=R4-2
Added Pin To Net: NetName=NetC14_2 Pin=U1-3
Added Net: Name=NetC14_2
Added Pin To Net: NetName=NetC15_2 Pin=C15-2
Added Pin To Net: NetName=NetC15_2 Pin=C16-2
Added Pin To Net: NetName=NetC15_2 Pin=L7-2
Added Pin To Net: NetName=NetC15_2 Pin=L8-2
Added Pin To Net: NetName=NetC15_2 Pin=L9-2
Added Net: Name=NetC15_2
Added Member To Class: ClassName=Main Member=Component C10 1.4pF
Added Member To Class: ClassName=Main Member=Component C11 1.4pF
Added Member To Class: ClassName=Main Member=Component C12 1.4pF
Added Member To Class: ClassName=Main Member=Component C13 10nF
Added Member To Class: ClassName=Main Member=Component C14 10nF
Added Member To Class: ClassName=Main Member=Component C15 1.4pF
Added Member To Class: ClassName=Main Member=Component C16 1.4pF
Added Member To Class: ClassName=Main Member=Component C17 1.4pF
Added Member To Class: ClassName=Main Member=Component F1 B8328
Added Member To Class: ClassName=Main Member=Component L3 6.6nH
Added Member To Class: ClassName=Main Member=Component L4 6.6nH
Added Member To Class: ClassName=Main Member=Component L5 6.6nH
Added Member To Class: ClassName=Main Member=Component L6 6.6nH
Added Member To Class: ClassName=Main Member=Component L7 6.6nH
Added Member To Class: ClassName=Main Member=Component L8 8.2nH
Added Member To Class: ClassName=Main Member=Component L9 6.6nH
Added Member To Class: ClassName=Main Member=Component L10 6.6nH
Added Member To Class: ClassName=Main Member=Component R2 4k7
Added Member To Class: ClassName=Main Member=Component R3 2k2
Added Member To Class: ClassName=Main Member=Component R4 100R
Added Member To Class: ClassName=Main Member=Component U1 LTC5508
Added Room: Name=Main
